country,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Israel,1.11E+11,1.20E+11,1.26E+11,1.31E+11,1.36E+11,1.40E+11,1.53E+11,1.53E+11,1.52E+11,1.56E+11,1.65E+11,1.75E+11,1.86E+11,1.97E+11,2.06E+11,2.08E+11,2.19E+11,2.28E+11,2.35E+11,2.41E+11
Italy,1.64E+12,1.72E+12,1.74E+12,1.79E+12,1.85E+12,1.90E+12,1.98E+12,2.03E+12,2.05E+12,2.06E+12,2.08E+12,2.08E+12,2.13E+12,2.17E+12,2.14E+12,2.02E+12,2.05E+12,2.06E+12,2.02E+12,1.97E+12
Jamaica,22300000000,22600000000,22100000000,21800000000,21600000000,21600000000,21800000000,22200000000,22400000000,22900000000,23000000000,23300000000,24000000000,24300000000,24100000000,23400000000,23000000000,23300000000,23200000000,23300000000
Japan,3.76E+12,3.84E+12,3.97E+12,4.04E+12,3.92E+12,3.91E+12,4.02E+12,4.03E+12,4.04E+12,4.11E+12,4.21E+12,4.29E+12,4.36E+12,4.45E+12,4.41E+12,4.16E+12,4.36E+12,4.34E+12,4.41E+12,4.48E+12
Jordan,33000000000,35400000000,35800000000,36400000000,36700000000,37300000000,38300000000,39800000000,41600000000,43000000000,46400000000,49700000000,54000000000,58900000000,63800000000,67800000000,69700000000,71500000000,73200000000,75200000000
Kazakhstan,1.38E+11,1.28E+11,1.28E+11,1.30E+11,1.28E+11,1.31E+11,1.43E+11,1.62E+11,1.77E+11,1.94E+11,2.13E+11,2.36E+11,2.61E+11,2.84E+11,2.93E+11,2.96E+11,3.16E+11,3.37E+11,3.52E+11,3.72E+11
Kenya,47300000000,49400000000,51400000000,51600000000,53300000000,54400000000,54700000000,57100000000,57400000000,59100000000,62100000000,65800000000,70000000000,74900000000,76000000000,78100000000,82600000000,86200000000,90100000000,95200000000
Kiribati,112000000,111000000,118000000,124000000,138000000,138000000,152000000,153000000,154000000,160000000,165000000,165000000,158000000,169000000,174000000,173000000,172000000,177000000,181000000,186000000
Kuwait,1.57E+11,1.47E+11,1.36E+11,1.36E+11,1.35E+11,1.34E+11,1.42E+11,1.42E+11,1.46E+11,1.69E+11,1.86E+11,2.04E+11,2.14E+11,2.21E+11,2.33E+11,2.22E+11,2.18E+11,2.32E+11,2.46E+11,2.47E+11
Kyrgyz Republic,8330000000,7880000000,8440000000,9310000000,9540000000,9900000000,10400000000,11000000000,10900000000,11500000000,12100000000,12000000000,12400000000,13400000000,14500000000,14900000000,14800000000,15800000000,15600000000,17300000000
Lao,9780000000,10300000000,10500000000,11000000000,11300000000,12100000000,12700000000,13300000000,14000000000,14700000000,15400000000,16400000000,17800000000,19200000000,20700000000,22300000000,24100000000,26000000000,27900000000,30000000000
Latvia,21500000000,21200000000,22000000000,24000000000,25300000000,26500000000,28400000000,30600000000,32600000000,34900000000,37900000000,41900000000,46800000000,51500000000,49900000000,41500000000,41700000000,44800000000,47700000000,49600000000
Lebanon,15900000000,17100000000,17800000000,19900000000,22700000000,24400000000,26100000000,29400000000,33600000000,37500000000,44400000000,49700000000,50900000000,55700000000,60200000000,65200000000,69400000000,70000000000,70900000000,71500000000
Lesotho,2720000000,2770000000,2940000000,3040000000,3110000000,3200000000,3360000000,3510000000,3520000000,3690000000,3770000000,3880000000,4040000000,4230000000,4460000000,4590000000,4850000000,5050000000,5400000000,5760000000
Liberia,526000000,504000000,565000000,1160000000,1510000000,1860000000,2270000000,2340000000,2420000000,1670000000,1720000000,1810000000,2050000000,2230000000,2410000000,2590000000,2780000000,3010000000,3270000000,3520000000
Libya,1.06E+11,1.07E+11,1.13E+11,1.20E+11,1.16E+11,1.18E+11,1.23E+11,1.30E+11,1.33E+11,1.41E+11,1.49E+11,1.60E+11,1.70E+11,1.81E+11,1.86E+11,1.84E+11,1.93E+11,74900000000,1.52E+11,1.37E+11
Liechtenstein,1820000000,1930000000,2060000000,2210000000,2380000000,2630000000,2720000000,2700000000,2680000000,2630000000,2710000000,2840000000,3090000000,3380000000,3290000000,2950000000,3210000000,3270000000,,
Lithuania,34300000000,35900000000,37400000000,39700000000,42300000000,41300000000,42700000000,45300000000,48300000000,52900000000,56700000000,60900000000,65700000000,72200000000,74200000000,63200000000,64900000000,74100000000,77500000000,80100000000
Luxembourg,24700000000,24900000000,25700000000,28000000000,30100000000,32500000000,35400000000,35700000000,36300000000,37000000000,38500000000,40700000000,42800000000,45900000000,45800000000,44100000000,45400000000,45800000000,45400000000,45900000000
"Macedonia, FYR",16100000000,15900000000,16100000000,16300000000,16800000000,17600000000,18400000000,17500000000,17700000000,18200000000,19000000000,19800000000,20800000000,22000000000,23100000000,22900000000,23600000000,24300000000,24100000000,24900000000
Madagascar,17700000000,18100000000,18500000000,19200000000,20000000000,20900000000,22000000000,23300000000,20300000000,22300000000,23500000000,24600000000,25900000000,27600000000,29600000000,28500000000,28700000000,29300000000,30100000000,30900000000
Malawi,5170000000,5640000000,6190000000,6420000000,6570000000,6650000000,6760000000,6420000000,6610000000,6360000000,7360000000,7600000000,7960000000,8720000000,9450000000,10300000000,11000000000,11500000000,11700000000,12400000000
Malaysia,2.60E+11,2.86E+11,3.16E+11,3.40E+11,3.16E+11,3.37E+11,3.67E+11,3.69E+11,3.86E+11,4.09E+11,4.39E+11,4.61E+11,4.89E+11,5.23E+11,5.50E+11,5.40E+11,5.77E+11,6.08E+11,6.45E+11,6.79E+11
Maldives,1100000000,1180000000,1280000000,1430000000,1560000000,1680000000,1760000000,1810000000,1920000000,2100000000,2340000000,2220000000,2640000000,2910000000,3250000000,3120000000,3330000000,3560000000,3580000000,3700000000
Mali,10100000000,10900000000,11400000000,12200000000,12900000000,13800000000,14400000000,16200000000,17000000000,18300000000,18900000000,20100000000,21200000000,22100000000,23200000000,24200000000,25700000000,26300000000,26300000000,26700000000
Malta,7780000000,8240000000,8580000000,8970000000,9280000000,9630000000,10200000000,10100000000,10300000000,10300000000,10300000000,10600000000,10900000000,11300000000,11700000000,11300000000,11700000000,11800000000,12000000000,12300000000
Marshall Islands,166000000,180000000,161000000,151000000,147000000,143000000,152000000,160000000,164000000,164000000,164000000,168000000,172000000,178000000,176000000,174000000,186000000,190000000,199000000,200000000
Mauritania,4770000000,4990000000,5310000000,5510000000,5720000000,5940000000,6240000000,6510000000,6780000000,7150000000,7520000000,7900000000,8800000000,8890000000,9200000000,9090000000,9550000000,9920000000,10600000000,11300000000
